upazila_ID;Upz_geocode;distr_ID;Upazilla;bn_name;DS_X;DS_Y;Number;Constituency ;Isdelete;UserID;,
134;205165;15;Ramganj;???????;589261;545221;0;274;0;1;,
135;205173;15;Ramgati;??????;596722;492489;0;277;0;1;,
136;207507;16;Begumganj;????????;612125;526753;0;270;0;1;,
137;207510;16;Chatkhil;??????;598682;540665;0;268;0;1;,
138;207521;16;Companiganj;????????????;633753;507459;0;272;0;1;,
139;207536;16;Hatiya;??????;611911;463539;0;273;0;1;,
140;207547;16;Kabirhat;???????;621971;512514;0;272;0;1;,
141;207580;16;Senbagh;??????;624225;533676;0;269;0;1;,
142;207583;16;Sonaimuri;?????????;610571;537271;0;;0;1;,
143;207585;16;Surbarnachar;????????;617022;493217;0;271;0;1;,
144;207587;16;Noakhali Sadar (Sudh;???????? ???;607325;513359;0;271;0;1;,
145;208407;17;Baghai Chhari;????????;727757;580950;0;299;0;1;,
146;208421;17;Barkal;????;740132;517615;0;299;0;1;,
147;208425;17;Kawkhali (Betbunia);??????? (?????????);706089;494605;0;299;0;1;,
148;208429;17;Belai Chhari;????????;755494;459322;0;299;0;1;,
149;208436;17;Kaptai;???????;728054;482515;0;299;0;1;,
150;208447;17;Jurai Chhari;????????;749609;494513;0;299;0;1;,
151;208458;17;Langadu;?????;727675;535368;0;299;0;1;,
152;208475;17;Naniarchar;?????????;712201;517688;0;299;0;1;,
153;208478;17;Rajasthali;????????;728283;470481;0;299;0;1;,
154;208487;17;Rangamati Sadar;?????????? ???;725165;497810;0;299;0;1;,
155;302618;18;Dohar;?????;512156;600819;0;174;0;1;,
156;302903;19;Alfadanga;??????????;466502;567178;0;211;0;1;,
157;302910;19;Bhanga;??????;501285;577138;0;214;0;1;,
158;302918;19;Boalmari;?????????;469382;579048;0;211;0;1;,
159;302921;19;Char Bhadrasan;?? ??????? ;499306;599422;0;214;0;1;,
160;302947;19;Faridpur Sadar;??????? ???;481688;600791;0;213;0;1;,
161;302956;19;Madhukhali;???????;460760;594225;0;211;0;1;,
162;302962;19;Nagarkanda;?????????;489578;582375;0;212;0;1;,
163;302984;19;Sadarpur;??????;505626;589214;0;214;0;1;,
164;302990;19;Saltha;??????;479894;580353;0;212;0;1;,
165;303330;20;Gazipur Sadar;??????? ???;540589;646083;0;;0;1;,
166;303332;20;Kaliakair;?????????;527241;656065;0;194;0;1;,
167;303334;20;Kaliganj;????????;556686;640842;0;198;0;1;,
168;303336;20;Kapasia;????????;560952;661419;0;197;0;1;,
169;303386;20;Sreepur;???????;544991;667233;0;196;0;1;,
170;303532;21;Gopalganj Sadar;????????? ???;484837;541011;0;216;0;1;,
